province,mehr,farvardin
تهران,10216063,9459963
اصفهان,987383,896382
خراسان رضوی,843818,767769
مازندران,437609,381818
فارس,782381,720346
خوزستان,614007,546749
آذربایجان شرقی,508756,450395
گیلان,294991,262762
کرمان,348550,307651
آذربایجان غربی,251693,223570
کرمانشاه,201456,188246
یزد,206050,185843
گلستان,153712,134908
همدان,171753,153510
مرکزی,189328,171804
سمنان,108026,97321
لرستان,134744,121551
اردبیل,110702,95602
قزوین,157069,135655
هرمزگان,170905,144569
بوشهر,181777,153441
کردستان,103080,92391
زنجان,119656,101888
قم,197571,179166
سیستان و بلوچستان,142615,123508
چهارمحال‌وبختیاری,100906,94066
ایلام,57636,53932
کهگیلویه وبویراحمد,50028,45013
خراسان شمالی,64257,57666
خراسان جنوبی,79038,72820
البرز   ,383824,346681
